log_id,source_node,target_node,edge_type,label,source_node_degree,edge_interaction_count,source_node_age_normalized,source_privilege_level,source_historical_risk,target_resource_criticality,is_cross_account
synthetic_cloudtrail.csv:21,arn:aws:iam::561474069518:user/zxlzxc,role-mzpdnc,GetUser,0,6,1,0.002905092592592593,1,0.0882,4,1
synthetic_cloudtrail.csv:22,arn:aws:iam::561474069518:user/zxlzxc,prod/db/zbykuv,RotateSecret,0,7,1,0.003946759259259259,1,0.0918,5,1
synthetic_cloudtrail.csv:23,arn:aws:iam::890976271776:user/ivedmw,i-ugkgvwekirpkrimut,DescribeVpcs,0,6,1,0.00375,1,0.0882,3,1
synthetic_cloudtrail.csv:24,arn:aws:iam::890976271776:user/ivedmw,i-vnxjxoxetqrqcanye,CreateSnapshot,0,7,1,0.004629629629629629,1,0.0918,3,1
synthetic_cloudtrail.csv:25,arn:aws:iam::561474069518:user/zxlzxc,/app/izssfy/config,DescribeInstanceInformation,0,8,1,0.005162037037037037,1,0.0942,2,1
synthetic_cloudtrail.csv:26,arn:aws:iam::561474069518:user/zxlzxc,aws_service,ModifyInstanceAttribute,0,9,1,0.0052199074074074075,1,0.096,3,1
synthetic_cloudtrail.csv:27,arn:aws:iam::890976271776:user/ivedmw,alias/hnhncm,DescribeKey,0,8,1,0.005127314814814815,1,0.0942,5,1
synthetic_cloudtrail.csv:28,arn:aws:iam::561474069518:user/zxlzxc,aws_service,DescribeLoadBalancers,0,10,2,0.006030092592592593,1,0.0972,2,1
synthetic_cloudtrail.csv:29,arn:aws:iam::890976271776:user/ivedmw,alias/qnvygj,ListKeys,0,9,1,0.00636574074074074,1,0.096,5,1
synthetic_cloudtrail.csv:30,arn:aws:iam::890976271776:user/ivedmw,role-bgxwph,ListRolePolicies,0,10,1,0.006597222222222222,1,0.0972,4,1
synthetic_cloudtrail.csv:31,arn:aws:iam::561474069518:user/zxlzxc,/app/bbsdcy/config,GetParameter,0,11,1,0.007280092592592592,1,0.098,2,1
synthetic_cloudtrail.csv:32,arn:aws:iam::901165181182:user/cedivo,prod/db/wreyis,GetSecretValue,0,1,1,0.0,0,0.24,5,1
synthetic_cloudtrail.csv:33,arn:aws:iam::901165181182:user/cedivo,aws_service,DescribeLoadBalancers,0,2,1,0.0002777777777777778,0,0.198,2,1
synthetic_cloudtrail.csv:34,arn:aws:iam::901165181182:user/cedivo,alias/derlbs,DescribeKey,0,3,1,0.0010185185185185184,0,0.1686,5,1
synthetic_cloudtrail.csv:35,arn:aws:iam::901165181182:user/cedivo,prod/db/qrhkra,RotateSecret,0,4,1,0.0021643518518518518,1,0.148,5,1
synthetic_cloudtrail.csv:36,arn:aws:iam::901165181182:user/cedivo,aws_service,DescribeVpcs,0,5,2,0.0032523148148148147,1,0.1336,3,1
synthetic_cloudtrail.csv:37,arn:aws:iam::901165181182:user/cedivo,role-hkodxc,GetUserPolicy,0,6,1,0.0038194444444444443,1,0.1235,4,1
synthetic_cloudtrail.csv:38,arn:aws:iam::901165181182:user/cedivo,/app/hccqeq/config,DescribeInstanceInformation,0,7,1,0.004421296296296296,1,0.1165,2,1
synthetic_cloudtrail.csv:39,arn:aws:iam::901165181182:user/cedivo,aws_service,DescribeKey,0,8,3,0.0044907407407407405,1,0.1115,5,1
synthetic_cloudtrail.csv:40,arn:aws:iam::901165181182:user/cedivo,/app/mhaymm/config,SendCommand,0,9,1,0.005648148148148148,1,0.3181,2,1
synthetic_cloudtrail.csv:41,arn:aws:iam::901165181182:user/cedivo,i-xubziytbnvfdqiqcn,DescribeInstances,0,10,1,0.00681712962962963,1,0.2826,3,1
synthetic_cloudtrail.csv:42,arn:aws:iam::901165181182:user/cedivo,aws_service,GetRegionOptStatus,0,11,4,0.0071643518518518514,1,0.2279,2,1
synthetic_cloudtrail.csv:43,arn:aws:iam::901165181182:user/cedivo,aws_service,DescribeInstances,0,12,5,0.007361111111111111,1,0.2195,3,0
synthetic_cloudtrail.csv:44,arn:aws:iam::901165181182:user/cedivo,aws_service,DescribeSubnets,0,13,6,0.008078703703703704,1,0.1836,3,0
synthetic_cloudtrail.csv:45,arn:aws:iam::901165181182:user/cedivo,aws_service,GetRolePolicy,0,14,7,0.00912037037037037,1,0.1586,4,0
synthetic_cloudtrail.csv:46,arn:aws:iam::901165181182:user/cedivo,aws_service,ListFunctions,0,15,8,0.009652777777777777,1,0.141,2,0
synthetic_cloudtrail.csv:47,arn:aws:iam::901165181182:user/cedivo,i-cniceqhzwpniadhzl,StopInstances,0,16,1,0.010868055555555556,1,0.1287,3,0
synthetic_cloudtrail.csv:48,arn:aws:iam::901165181182:user/cedivo,/app/hmumde/config,SendCommand,0,17,1,0.011076388888888889,1,0.3301,2,0
synthetic_cloudtrail.csv:49,arn:aws:iam::901165181182:user/cedivo,i-ckalbusrsemepmcsd,DescribeSubnets,0,18,1,0.012291666666666666,1,0.2611,3,0
synthetic_cloudtrail.csv:50,arn:aws:iam::901165181182:user/cedivo,/app/tpsoci/config,GetParameter,0,19,1,0.012476851851851852,1,0.2127,2,0
synthetic_cloudtrail.csv:51,arn:aws:iam::623618529660:user/ctozdr,/app/uysmfa/config,PutParameter,0,1,1,0.0,1,0.03,2,1
synthetic_cloudtrail.csv:52,arn:aws:iam::623618529660:user/ctozdr,data-rwgxby-bucket,GetBucketLogging,0,2,1,0.0002546296296296296,1,0.051,3,1
synthetic_cloudtrail.csv:53,arn:aws:iam::623618529660:user/ctozdr,aws_service,StopInstances,0,3,1,0.0005208333333333333,1,0.0657,3,1
synthetic_cloudtrail.csv:54,arn:aws:iam::623618529660:user/ctozdr,aws_service,GetRole,0,4,2,0.0010300925925925926,1,0.076,4,1
synthetic_cloudtrail.csv:55,arn:aws:iam::623618529660:user/ctozdr,/app/bgwijc/config,PutParameter,0,5,1,0.0015509259259259259,1,0.0832,2,1
synthetic_cloudtrail.csv:56,arn:aws:iam::623618529660:user/ctozdr,/app/gkfsqu/config,DescribeInstanceInformation,0,6,1,0.0019560185185185184,1,0.0882,2,1
synthetic_cloudtrail.csv:57,arn:aws:iam::623618529660:user/ctozdr,i-rweagwwwtdhaohnjn,StopInstances,0,7,1,0.0029861111111111113,1,0.0918,3,1
synthetic_cloudtrail.csv:58,arn:aws:iam::623618529660:user/ctozdr,aws_service,DescribeInstances,0,8,3,0.003472222222222222,1,0.1242,3,1
synthetic_cloudtrail.csv:59,arn:aws:iam::623618529660:user/ctozdr,aws_service,StartInstances,0,9,4,0.004710648148148148,1,0.117,3,1
synthetic_cloudtrail.csv:60,arn:aws:iam::623618529660:user/ctozdr,alias/dlykcw,DescribeKey,0,10,1,0.006099537037037037,1,0.1119,5,1
synthetic_cloudtrail.csv:61,arn:aws:iam::623618529660:user/ctozdr,prod/db/tbawhe,PutSecretValue,0,11,1,0.006597222222222222,1,0.1083,5,1
synthetic_cloudtrail.csv:62,arn:aws:iam::623618529660:user/ctozdr,aws_service,DescribeSubnets,0,12,5,0.007118055555555555,1,0.1058,3,1
synthetic_cloudtrail.csv:63,arn:aws:iam::623618529660:user/ctozdr,role-lcufhx,GetRolePolicy,0,13,1,0.008425925925925925,1,0.1041,4,1
synthetic_cloudtrail.csv:64,arn:aws:iam::623618529660:user/ctozdr,/app/qvymsm/config,GetParameter,0,14,1,0.009097222222222222,1,0.1029,2,1
synthetic_cloudtrail.csv:65,arn:aws:iam::623618529660:user/ctozdr,i-knygfpcdttzypvawm,DescribeSecurityGroups,0,15,1,0.010185185185185186,1,0.102,3,1
synthetic_cloudtrail.csv:66,arn:aws:iam::623618529660:user/ctozdr,aws_service,GetParameter,0,16,6,0.011354166666666667,1,0.1014,2,1
synthetic_cloudtrail.csv:67,arn:aws:iam::623618529660:user/ctozdr,data-xrjses-bucket,GetBucketLogging,0,17,1,0.012418981481481482,1,0.101,3,1
synthetic_cloudtrail.csv:68,arn:aws:iam::708911283962:user/zwtngb,i-mqoifdxglksmgvdqc,StartInstances,0,1,1,0.0,1,0.03,3,1
synthetic_cloudtrail.csv:69,arn:aws:iam::708911283962:user/zwtngb,db-ybnjqb,DescribeDBInstances,0,2,1,0.0009606481481481482,1,0.051,2,1
synthetic_cloudtrail.csv:70,arn:aws:iam::708911283962:user/zwtngb,db-chvgxa,DescribeDBInstances,0,3,1,0.0015277777777777779,1,0.0657,2,1
synthetic_cloudtrail.csv:71,arn:aws:iam::708911283962:user/zwtngb,i-hppsgsgwozpliokvz,StartInstances,0,4,1,0.0015972222222222223,1,0.076,3,1
synthetic_cloudtrail.csv:72,arn:aws:iam::708911283962:user/zwtngb,aws_service,GetRole,0,5,1,0.002002314814814815,1,0.0832,4,1
synthetic_cloudtrail.csv:73,arn:aws:iam::708911283962:user/zwtngb,aws_service,DescribeLoadBalancers,0,6,2,0.002685185185185185,1,0.0882,2,1
synthetic_cloudtrail.csv:74,arn:aws:iam::708911283962:user/zwtngb,aws_service,DescribeInstances,0,7,3,0.003703703703703704,1,0.1218,3,1
synthetic_cloudtrail.csv:75,arn:aws:iam::708911283962:user/zwtngb,/app/emexkx/config,GetParameter,0,8,1,0.0043055555555555555,1,0.1152,2,1
synthetic_cloudtrail.csv:76,arn:aws:iam::708911283962:user/zwtngb,aws_service,DescribeSubnets,0,9,4,0.005486111111111111,1,0.1107,3,1
synthetic_cloudtrail.csv:77,arn:aws:iam::708911283962:user/zwtngb,aws_service,DescribeDBInstances,0,10,5,0.006585648148148148,1,0.1075,2,1
synthetic_cloudtrail.csv:78,arn:aws:iam::109551462365:user/dclgsb,role-xmsucq,GetRole,0,1,1,0.0,0,0.03,4,1
synthetic_cloudtrail.csv:79,arn:aws:iam::109551462365:user/dclgsb,i-cymouulkgwkexcykb,CreateSnapshot,0,2,1,0.0013078703703703703,1,0.051,3,1
synthetic_cloudtrail.csv:80,arn:aws:iam::109551462365:user/dclgsb,data-agnqwt-bucket,GetBucketAcl,0,3,1,0.0017708333333333332,1,0.0657,3,1
synthetic_cloudtrail.csv:81,arn:aws:iam::109551462365:user/dclgsb,role-mwreeg,GetUserPolicy,0,4,1,0.0022569444444444442,1,0.076,4,1
synthetic_cloudtrail.csv:82,arn:aws:iam::109551462365:user/dclgsb,aws_service,ListFunctions,0,5,1,0.0036342592592592594,1,0.0832,2,1
synthetic_cloudtrail.csv:83,arn:aws:iam::109551462365:user/dclgsb,aws_service,DescribeSecurityGroups,0,6,2,0.004826388888888889,1,0.0882,3,1
synthetic_cloudtrail.csv:84,arn:aws:iam::109551462365:user/dclgsb,aws_service,DescribeDBInstances,0,7,3,0.00568287037037037,1,0.0918,2,1
synthetic_cloudtrail.csv:85,arn:aws:iam::109551462365:user/dclgsb,/app/hhjhoy/config,DescribeInstanceInformation,0,8,1,0.0065625,1,0.0942,2,1
synthetic_cloudtrail.csv:86,arn:aws:iam::109551462365:user/dclgsb,i-ztiyqknrldgsfegkr,DescribeInstances,0,9,1,0.007245370370370371,1,0.126,3,1
synthetic_cloudtrail.csv:87,arn:aws:iam::109551462365:user/dclgsb,aws_service,ListKeys,0,10,4,0.007534722222222222,1,0.1182,5,1
synthetic_cloudtrail.csv:88,arn:aws:iam::109551462365:user/dclgsb,aws_service,GetSecretValue,0,11,5,0.008680555555555556,1,0.3227,5,1
synthetic_cloudtrail.csv:89,arn:aws:iam::109551462365:user/dclgsb,/app/ynnvoz/config,DescribeInstanceInformation,0,12,1,0.01005787037037037,1,0.2559,2,1
synthetic_cloudtrail.csv:90,arn:aws:iam::109551462365:user/dclgsb,aws_service,DescribeSecurityGroups,0,13,6,0.010694444444444444,1,0.2091,3,1
synthetic_cloudtrail.csv:91,arn:aws:iam::164934858948:user/yoorpu,aws_service,DescribeSecurityGroups,0,1,1,0.0,0,0.03,3,1
synthetic_cloudtrail.csv:92,arn:aws:iam::164934858948:user/yoorpu,aws_service,DescribeDBInstances,0,2,2,0.0007754629629629629,0,0.051,2,1
synthetic_cloudtrail.csv:93,arn:aws:iam::164934858948:user/yoorpu,/app/ainkzn/config,SendCommand,0,3,1,0.001585648148148148,1,0.2757,2,1
synthetic_cloudtrail.csv:94,arn:aws:iam::164934858948:user/yoorpu,alias/enknpd,DescribeKey,0,4,1,0.002210648148148148,1,0.223,5,1
synthetic_cloudtrail.csv:95,arn:aws:iam::164934858948:user/yoorpu,aws_service,RotateSecret,0,5,3,0.002534722222222222,1,0.1861,5,1
synthetic_cloudtrail.csv:96,arn:aws:iam::164934858948:user/yoorpu,/app/nuiopg/config,SendCommand,0,6,1,0.0036805555555555554,1,0.3703,2,1
synthetic_cloudtrail.csv:97,arn:aws:iam::164934858948:user/yoorpu,i-uhiwloqhaabesghao,StopInstances,0,7,1,0.0044675925925925924,1,0.2892,3,1
synthetic_cloudtrail.csv:98,arn:aws:iam::164934858948:user/yoorpu,role-ixlsjw,GetRole,0,8,1,0.004814814814814815,1,0.2324,4,1
synthetic_cloudtrail.csv:99,arn:aws:iam::164934858948:user/yoorpu,fn-wvmojd,ListFunctions,0,9,1,0.0061805555555555555,1,0.1927,2,1
synthetic_cloudtrail.csv:100,arn:aws:iam::164934858948:user/yoorpu,aws_service,DescribeInstances,0,10,4,0.006400462962962963,1,0.1949,3,1
synthetic_cloudtrail.csv:101,arn:aws:iam::164934858948:user/yoorpu,aws_service,DescribeDBInstances,0,11,5,0.007465277777777778,1,0.1664,2,1
synthetic_cloudtrail.csv:102,arn:aws:iam::164934858948:user/yoorpu,i-umhlfxneylscbdrwx,DescribeInstances,0,12,1,0.008148148148148147,1,0.1765,3,1
synthetic_cloudtrail.csv:103,arn:aws:iam::164934858948:user/yoorpu,aws_service,ModifyInstanceAttribute,0,13,6,0.008726851851851852,1,0.1535,3,1
synthetic_cloudtrail.csv:104,arn:aws:iam::164934858948:user/yoorpu,role-keldyv,GetRolePolicy,0,14,1,0.009942129629629629,1,0.1375,4,1
synthetic_cloudtrail.csv:105,arn:aws:iam::135983196811:user/svsqhs,alias/lnjwxu,ListKeys,0,1,1,0.0,0,0.03,5,1
synthetic_cloudtrail.csv:106,arn:aws:iam::135983196811:user/svsqhs,aws_service,DescribeInstances,0,2,1,0.00020833333333333335,0,0.081,3,1
synthetic_cloudtrail.csv:107,arn:aws:iam::135983196811:user/svsqhs,i-fyszubqksnfvgxgeq,DescribeSubnets,0,3,1,0.001412037037037037,0,0.0867,3,1
synthetic_cloudtrail.csv:108,arn:aws:iam::135983196811:user/svsqhs,i-icyfwicrqzqzlfyli,DescribeInstances,0,4,1,0.0021064814814814813,0,0.1207,3,1
synthetic_cloudtrail.csv:109,arn:aws:iam::135983196811:user/svsqhs,aws_service,RebootInstances,0,5,2,0.0033333333333333335,1,0.1145,3,1
synthetic_cloudtrail.csv:110,arn:aws:iam::135983196811:user/svsqhs,alias/dwzlbf,ListKeys,0,6,1,0.004212962962962963,1,0.1101,5,1
synthetic_cloudtrail.csv:111,arn:aws:iam::135983196811:user/svsqhs,aws_service,GetRole,0,7,3,0.004791666666666666,1,0.1071,4,1
synthetic_cloudtrail.csv:112,arn:aws:iam::135983196811:user/svsqhs,data-ddvszm-bucket,GetBucketAcl,0,8,1,0.004988425925925926,1,0.105,3,1
synthetic_cloudtrail.csv:113,arn:aws:iam::073613418418:user/hskfbzqlr,prod/db/jpdjmz,ListSecrets,0,1,1,0.0,0,0.03,5,1
synthetic_cloudtrail.csv:114,arn:aws:iam::073613418418:user/hskfbzqlr,role-xgtbmn,ListPolicies,0,2,1,0.0002314814814814815,0,0.051,4,1
synthetic_cloudtrail.csv:115,arn:aws:iam::073613418418:user/hskfbzqlr,data-jnkjvc-bucket,ListBuckets,0,3,1,0.00032407407407407406,0,0.0957,3,1
synthetic_cloudtrail.csv:116,arn:aws:iam::073613418418:user/hskfbzqlr,role-vgykme,ListAttachedUserPolicies,0,4,1,0.0005208333333333333,0,0.097,4,1
synthetic_cloudtrail.csv:117,arn:aws:iam::073613418418:user/hskfbzqlr,role-bjfywl,ListRoles,0,5,1,0.0008217592592592593,0,0.0979,4,1
synthetic_cloudtrail.csv:118,arn:aws:iam::073613418418:user/hskfbzqlr,aws_service,ListAccessKeys,0,6,1,0.0009490740740740741,0,0.0985,4,1
synthetic_cloudtrail.csv:119,arn:aws:iam::073613418418:user/hskfbzqlr,aws_service,DescribeInstances,0,7,2,0.0012037037037037038,0,0.129,3,1
synthetic_cloudtrail.csv:120,arn:aws:iam::073613418418:user/hskfbzqlr,aws_service,DescribeTrails,0,8,3,0.0014699074074074074,0,0.1203,2,1
synthetic_cloudtrail.csv:121,arn:aws:iam::073613418418:user/hskfbzqlr,admins-qvtejj,AddUserToGroup,1,9,1,0.001979166666666667,1,0.1142,5,1
synthetic_cloudtrail.csv:122,arn:aws:iam::073613418418:user/hskfbzqlr,alias/qyizqk,ListKeys,0,10,1,0.0027314814814814814,1,0.1099,5,1
synthetic_cloudtrail.csv:123,arn:aws:iam::073613418418:user/hskfbzqlr,/app/kypuwt/config,PutParameter,0,11,1,0.0036342592592592594,1,0.107,2,1
synthetic_cloudtrail.csv:124,arn:aws:iam::073613418418:user/hskfbzqlr,/app/uqzmbh/config,PutParameter,0,12,1,0.004571759259259259,1,0.1049,2,1
synthetic_cloudtrail.csv:125,unknown_principal,aws_service,StartSecretVersionDelete,0,1,1,0.0,1,0.03,5,0
synthetic_cloudtrail.csv:126,unknown_principal,aws_service,EndSecretVersionDelete,0,2,2,0.0003587962962962963,1,0.051,5,0
synthetic_cloudtrail.csv:127,unknown_principal,aws_service,StartSecretVersionDelete,0,3,3,0.0008680555555555555,1,0.0657,5,0
synthetic_cloudtrail.csv:128,unknown_principal,aws_service,EndSecretVersionDelete,0,4,4,0.0013194444444444445,1,0.076,5,0
synthetic_cloudtrail.csv:129,unknown_principal,aws_service,StartSecretVersionDelete,0,5,5,0.0019097222222222222,1,0.0832,5,0
synthetic_cloudtrail.csv:130,unknown_principal,aws_service,EndSecretVersionDelete,0,6,6,0.002199074074074074,1,0.0882,5,0
synthetic_cloudtrail.csv:131,arn:aws:iam::106597445226:user/jshqcb,data-fkhojc-bucket,GetBucketAcl,0,1,1,0.0,0,0.03,3,1
synthetic_cloudtrail.csv:132,arn:aws:iam::106597445226:user/jshqcb,/app/bdtihc/config,SendCommand,0,2,1,0.00042824074074074075,1,0.261,2,1
synthetic_cloudtrail.csv:133,arn:aws:iam::106597445226:user/jshqcb,i-tsrvuwqdphdeeiiwc,DescribeInstances,0,3,1,0.0006481481481481481,1,0.2427,3,1
synthetic_cloudtrail.csv:134,arn:aws:iam::106597445226:user/jshqcb,i-lxabhkqblpgogfbik,DescribeSubnets,0,4,1,0.001875,1,0.1999,3,1
synthetic_cloudtrail.csv:135,arn:aws:iam::106597445226:user/jshqcb,aws_service,DescribeVpcs,0,5,1,0.0021296296296296298,1,0.1699,3,1
synthetic_cloudtrail.csv:136,arn:aws:iam::106597445226:user/jshqcb,/app/ssvjrh/config,SendCommand,0,6,1,0.0030902777777777777,1,0.3589,2,1
synthetic_cloudtrail.csv:137,arn:aws:iam::106597445226:user/jshqcb,role-pcyort,GetRolePolicy,0,7,1,0.0038425925925925928,1,0.2813,4,1
synthetic_cloudtrail.csv:138,arn:aws:iam::106597445226:user/jshqcb,aws_service,CreateSnapshot,0,8,2,0.0050810185185185186,1,0.2269,3,1
synthetic_cloudtrail.csv:139,arn:aws:iam::106597445226:user/jshqcb,aws_service,DescribeLoadBalancers,0,9,3,0.006423611111111111,1,0.1888,2,1
synthetic_cloudtrail.csv:140,arn:aws:iam::106597445226:user/jshqcb,aws_service,DescribeInstances,0,10,4,0.006828703703703704,1,0.1922,3,1
synthetic_cloudtrail.csv:141,arn:aws:iam::106597445226:user/jshqcb,/app/gdxeej/config,DescribeInstanceInformation,0,11,1,0.00787037037037037,1,0.1645,2,1
synthetic_cloudtrail.csv:142,arn:aws:iam::106597445226:user/jshqcb,aws_service,DescribeDBInstances,0,12,5,0.008136574074074074,1,0.1452,2,1
synthetic_cloudtrail.csv:143,arn:aws:iam::106597445226:user/jshqcb,data-kpocsc-bucket,GetBucketLogging,0,13,1,0.008657407407407407,1,0.1316,3,1
synthetic_cloudtrail.csv:144,arn:aws:iam::106597445226:user/jshqcb,/app/ubeizx/config,PutParameter,0,14,1,0.009652777777777777,1,0.1221,2,1
synthetic_cloudtrail.csv:145,arn:aws:iam::106597445226:user/jshqcb,aws_service,DescribeInstanceInformation,0,15,6,0.00988425925925926,1,0.1155,2,1
synthetic_cloudtrail.csv:146,arn:aws:iam::106597445226:user/jshqcb,aws_service,GetRegionOptStatus,0,16,7,0.011203703703703704,1,0.1108,2,1
synthetic_cloudtrail.csv:147,arn:aws:iam::106597445226:user/jshqcb,aws_service,GetRole,0,17,8,0.012453703703703703,1,0.1076,4,1
synthetic_cloudtrail.csv:148,arn:aws:iam::106597445226:user/jshqcb,data-nngtqa-bucket,GetBucketAcl,0,18,1,0.013761574074074074,1,0.1053,3,1
synthetic_cloudtrail.csv:149,arn:aws:iam::106597445226:user/jshqcb,data-tueain-bucket,GetBucketPolicy,0,19,1,0.014467592592592593,1,0.1037,3,1
synthetic_cloudtrail.csv:150,arn:aws:iam::862720007421:user/qxsmkyfeij,role-cwhyga,ListAttachedRolePolicies,0,1,1,0.0,0,0.03,4,1
synthetic_cloudtrail.csv:151,arn:aws:iam::862720007421:user/qxsmkyfeij,aws_service,DescribeTrails,0,2,1,0.0002314814814814815,0,0.051,2,1
synthetic_cloudtrail.csv:152,arn:aws:iam::862720007421:user/qxsmkyfeij,data-thxxot-bucket,ListBuckets,0,3,1,0.00045138888888888887,0,0.0957,3,1
synthetic_cloudtrail.csv:153,arn:aws:iam::862720007421:user/qxsmkyfeij,aws_service,DescribeInstances,0,4,2,0.0007060185185185185,0,0.127,3,1
synthetic_cloudtrail.csv:154,arn:aws:iam::862720007421:user/qxsmkyfeij,role-rgvurh,GetAccountSummary,0,5,1,0.0010300925925925926,0,0.1189,4,1
synthetic_cloudtrail.csv:155,arn:aws:iam::862720007421:user/qxsmkyfeij,role-fkzwao,ListUsers,0,6,1,0.001238425925925926,0,0.1432,4,1
synthetic_cloudtrail.csv:156,arn:aws:iam::862720007421:user/qxsmkyfeij,role-aqabml,CreateRole,1,7,1,0.0018055555555555555,1,0.3103,4,1
synthetic_cloudtrail.csv:157,arn:aws:iam::862720007421:user/qxsmkyfeij,role-aqabml,AttachRolePolicy,1,8,2,0.001863425925925926,1,0.2472,4,1
synthetic_cloudtrail.csv:158,arn:aws:iam::862720007421:user/qxsmkyfeij,role-aqabml,AssumeRole,1,9,3,0.0020949074074074073,1,0.353,2,1
synthetic_cloudtrail.csv:159,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,prod/db/krhito,GetSecretValue,1,1,1,0.0,0,0.24,5,1
synthetic_cloudtrail.csv:160,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,data-solgps-bucket,PutBucketPolicy,1,2,1,9.259259259259259e-05,1,0.198,3,1
synthetic_cloudtrail.csv:161,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,mgmt-trail-wkzpnt,StopLogging,1,3,1,0.0002777777777777778,1,0.4386,2,1
synthetic_cloudtrail.csv:162,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,i-immhpzljazrumtudx,StartInstances,0,4,1,0.0005439814814814814,1,0.337,3,1
synthetic_cloudtrail.csv:163,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,prod/db/rdqmhl,GetSecretValue,0,5,1,0.0015162037037037036,1,0.4759,5,1
synthetic_cloudtrail.csv:164,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,aws_service,ListFunctions,0,6,1,0.0022916666666666667,1,0.3631,2,1
synthetic_cloudtrail.csv:165,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,i-yxhozomzzkewzwrvp,DescribeInstances,0,7,1,0.0029976851851851853,1,0.3142,3,1
synthetic_cloudtrail.csv:166,arn:aws:sts::862720007421:assumed-role/role-aqabml/rbdrynceegomjuwj,/app/dueosg/config,DescribeInstanceInformation,0,8,1,0.0035069444444444445,1,0.2499,2,1
